food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
Fromage à pâte molle et croûte fleurie double crème environ 30% MG,268.0,,,,0.0,,0.0,,,,,,13.0,
Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse,,,,,0.0,,0.0,,,,,,62.0,
Coulommiers,196.0,,,,,,,,,,,,,
Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse,,,,,,,,,,,,,,
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse,,,,,,,,,,,,,,
"Brie, sans précision",204.0,9.0,,,,,0.0,,,,,,,
Brie de Meaux,153.0,,,,,,,,,,,,115.0,
Brie de Melun,218.0,,,,,,,,,,,,140.0,
Carré de l'Est,,,,,,,,,,,,,,
Chaource,236.0,,,,,,,,,,,,,
Maroilles laitier,,,,,,,,,,,,,,
Maroilles fermier,,,,,,,,,,,,,,
Neufchâtel,186.0,27.0,,,,,,,,,,,,
Fromage à pâte molle triple crème environ 40% MG,314.0,,,,0.0,,0.0,,,,,,13.0,
Fromage à pâte molle et croûte lavée (aliment moyen),249.0,,,,,,,,,,,,,
"Fromage à pâte molle et croûte lavée, allégé environ 13% MG",132.0,,,,,,,,,,,,,
"Maroilles, sans précision",222.0,,,,,,,,,,,,144.0,
Livarot,168.0,119.0,,,,,,,,,,,140.0,
Époisses,210.0,,,,,,,,,,,,,
Munster,297.0,13.0,,,,,0.0,,,,,,12.0,
Langres,220.0,,,,,,,,,,,,,
Pont l'Évêque,191.0,113.0,,,,,,,,,,,,
Reblochon,,,,,,,,,,,,,25.0,
"Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)",250.0,,,,,,,,,,,,,
Saint-Marcellin,192.0,113.0,,,,,,,,,,,,
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée,,,,,,,,,,,,,40.0,
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse),,100.0,,,,,,,,,,,,
Saint-Félicien,205.0,114.0,,,,,,,,,,,,
Boulette d'Avesne,277.0,,,1.0,,,,,,,,,103.0,
"Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)",176.0,,,,,,,,,,,,,
"Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)",156.0,,,,,,,,,,,,,
"Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure)",169.0,0.0,,,,,,,,,,,,
Sainte-Maure de Touraine (fromage de chèvre),,,,,,,,,,,,,,
Fromage de chèvre demi-sec,401.0,77.0,,,,,0.0,,,,,,2.0,
Fromage de chèvre bûche,152.0,,,,,,,,,,,,,
"Fromage de chèvre bûche, allégé en matière grasse",,,,,,,,,,,,,,
"Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé",,,,,,,,,,,,,,
Fromage de chèvre sec,478.0,91.0,,,3.0,,0.0,,,,,,53.0,
Fromage de chèvre à pâte molle et croûte fleurie type camembert,176.0,,,,,,,,,,,,,2.0
Fromage de brebis à pâte molle et croûte fleurie,198.0,,,,,,,,,,,,,
Chabichou (fromage de chèvre),162.0,0.0,,,,,,,,,,,46.0,
Pélardon (fromage de chèvre),202.0,,,,,,,,,,,,,
"Crottin de chèvre, au lait cru",201.0,,,,,,,,,,,,,
"Crottin de chèvre, sans précision",175.0,,,,,,,,,,,,,
Crottin de Chavignol (fromage de chèvre),204.0,,,,,,,,,,,,,
Picodon (fromage de chèvre),180.0,,,,,,,,,,,,80.0,
Pouligny Saint-Pierre (fromage de chèvre),155.0,,,,,,,,,,,,108.0,
Sainte-Maure (fromage de chèvre),160.0,,,,,,,,,,,,,
Selles-sur-Cher (fromage de chèvre),,,,,,,,,,,,,,
Chevrot (fromage de chèvre),140.0,,,,,,,,,,,,77.0,
Rocamadour (fromage de chèvre),168.0,0.0,,,,,,,,,,,80.0,
Valençay (fromage de chèvre),166.0,,,,,,,,,,,,,
Roquefort,212.0,,,,,,0.0,,,,,,,
Fourme de Montbrison,,,,,,,,,,,,,,
Fromage bleu au lait de vache,224.0,74.0,,,,,0.0,,,,,,36.0,
Fromage bleu d'Auvergne,250.0,,,,,,,,,,,,,
Fourme d'Ambert,,,,,,,,,,,,,,
Fromage bleu des Causses,,,,,,,,,,,,,25.0,
Gorgonzola,286.0,168.0,,,,,,,,,,,,
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),,,,,,,,,,,,,,
Fromage bleu de Bresse,108.0,,,,,,0.0,,,,,,47.0,
Fromage bleu de Bresse allegé environ 15% MG,,,,,,,,,,,,,,
Fromage à pâte pressée cuite (aliment moyen),253.0,109.0,,,,,,,,,,,,
Beaufort,,100.0,,,,,,,,,,,,
Comté,263.0,,,,,,,,,,,,5.0,
Abondance,261.0,149.0,,,,,,,,,,,,
Gruyère IGP France,,,,,,,,,,,,,,
Gruyère,262.0,33.0,,,,,0.0,,,,,,15.0,
Emmental ou emmenthal,247.0,133.0,,,,,0.0,,,,,,20.0,
"Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse",108.0,100.0,,,,,0.0,,,,,,,
Emmental ou emmenthal râpé,193.0,,,,,,,,,,,,,
Ossau-Iraty,273.0,,,,,,,,,,,,,
Parmesan,334.0,,,,,,,,,,,,16.0,
Fontina,258.0,32.0,,,,,0.0,,,,,,6.0,
Pecorino,137.0,24.0,,,,,0.0,,,,,,7.0,
Grana Padano,,,,,,,,,,,,,,
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG,117.0,,,,0.0,,0.0,,,,,,,
Provolone,230.0,68.0,,,,,0.0,,,,,,10.0,
"Fromage à pâte ferme, enrobé de cire",,,,,,,0.0,,,,,,21.0,0.0
Cantal entre-deux,,,,,,,,,,,,,,
"Cantal, Salers ou Laguiole",160.0,140.0,,,,,,,,,,,,
Salers,311.0,107.0,,,,,,,,,,,,
Cheddar,256.0,85.0,,,,,0.0,,,,,,26.0,
Edam,242.0,11.0,,,,,0.0,,,,,,16.0,
Mimolette jeune,,,,,,,,,,,,,,
Gouda,164.0,10.0,,,,,0.0,,,,,,21.0,
Mimolette demi-vieille,,,,,,,,,,,,,,
Mimolette vieille,262.0,114.0,,,,,,,,,,,33.0,
"Mimolette, sans précision",120.0,112.0,,,,,0.0,,,,,,,
Fromage à pâte ferme environ 27% MG type Maasdam,240.0,100.0,,,,,0.0,,,,,,20.0,
Mimolette extra-vieille,,,,,,,,,,,,,,
Morbier,201.0,,,,,,,,,,,,29.0,
Fromage de brebis des Pyrénées,250.0,100.0,,,,,,,,,,,,
"Saint-Nectaire, laitier",,,,,,,,,,,,,,
Raclette (fromage),183.0,,,,,,,,,,,,51.0,
"Saint-Nectaire, fermier",,,,,,,,,,,,,,
"Saint-Nectaire, sans précision",,,,,,,,,,,,,,
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),243.0,,,,,,,,,,,,,
Tomme ou tome de vache,,,,,,,,,,,,,,
Tomme ou tome de montagne ou de Savoie,265.0,161.0,,,,,,,,,,,,
"Tomme ou tome, allégée en matière grasse, environ 13% MG",,,,,,,,,,,,,,
Asiago,175.0,150.0,,,,,0.0,,,,,,40.0,
Fromage de brebis Corse à pâte molle,292.0,,,,,,,,,,,,,
Tome des Bauges,,,,,,,,,,,,,,
Fromage de brebis à pâte pressée,263.0,,,,,,,,,,,,,
Fromage de lactosérum de brebis,140.0,,,,,,,,,,,,25.0,
Fromage fondu en tranchettes,161.0,,,,,,,,,,,,,
Fromage fondu en portions ou en cubes environ 8% MG,141.0,,,,,,,,,,,,,
Fromage fondu en portions ou en cubes environ 20% MG,209.0,,,,0.0,,0.0,,,,,,7.0,
"Fromage fondu double crème, environ 31% MG",300.0,,,,,,,,,,,,,
Cancoillotte (spécialité fromagère fondue),,,,,,,0.0,,,,,,12.0,
Spécialité fromagère fondante au fromage blanc et aux noix,186.0,,,,,,,,,,,,,
Snack pour enfants à base de fromage fondu et de gressins,188.0,,,,,,0.0,,,,,,,
"Fromage type feta, au lait de vache",157.0,3.0,,,,,0.0,,,,,,47.0,
Fromage 100% brebis (Feta AOP ou type Feta),179.0,0.0,,,,,,,,,,,,
"Fromage type feta, au lait de vache, à l'huile et aux aromates",161.0,,,,,,,,,,,,,
Feta AOP,215.0,,,,,,,,,,,,,
"Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère",207.0,63.0,,,,,0.0,,,,,,6.0,
"Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère",162.0,,,,,,,,,,,,,
"Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)",146.0,,,,,,,,,,,,,
"Fromage de chèvre frais, au lait cru (type palet ou crottin frais)",113.0,,,,,,,,,,,,,
"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",129.0,54.0,,,,,0.0,,,,,,47.0,
"Fromage de chèvre à tartiner, nature",,,,,,,,,,,,,,
Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes),232.0,,,,,,,,,,,,28.0,
Mascarpone,345.0,258.0,,1.0,,,0.0,,,,,,,
Ricotta,117.0,33.0,,,,,0.0,,,,,,12.0,
Mozzarella au lait de vache,174.0,57.0,,,,,0.0,,,,,,7.0,
"Mozzarella au lait de bufflonne ou buflesse (""di bufala"")",141.0,170.0,,,,,0.0,,,,,,,
"Spécialité végétale type fromage à tartiner, au soja, préemballée",,,,,,,,,,,,,,
"Spécialité végétale type fromage, à la noix de cajou, préemballée",,,,,,,,,,,,,,
"Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée",,,,,,,,,,,,,,
"Crème de lait ou spécialité à base de crème légère, teneur en matière grasse inconnue (aliment moyen)",211.0,,,,,,,,,,,,,
"Crème de lait, 30% MG, épaisse, rayon frais",195.0,73.0,,,0.0,,,,,,,,,
"Crème d'Isigny AOP, >= 35% MG",,,,,,,,,,,,,,
"Crème de lait, 30% MG, semi-épaisse, UHT",329.0,66.0,,,,,,,,,,,,
"Crème chantilly, sous pression, UHT",184.0,43.0,,,,,0.0,,,,,,3.0,
"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT",113.0,,,,0.0,,,,,,,,12.0,
"Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais",189.0,105.0,,,0.0,,,,,,,,34.0,
"Spécialité à base de crème légère 8% MG, fluide ou épaisse",,,,,0.0,,,,,,,,13.0,
"Crème de lait, 15 à 20% MG, légère, fluide, rayon frais",,,,,,,,,,,,,,
"Eau de source, embouteillée (aliment moyen)",,,,,,,,,,,,,,
"Eau minérale, embouteillée, faiblement minéralisée (aliment moyen)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eau minérale (aliment moyen),0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale, plate (aliment moyen)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale, gazeuse (aliment moyen)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eau du robinet,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eau embouteillée de source,,,,,,,,,,,,,,
"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)",,,,,,,,,,,,,,
"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale St-Diéry, embouteillée, gazeuse, fortement minéralisée (St-Diéry, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Ste-Marguerite, embouteillée, gazeuse, moyennement minéralisée (St-Maurice, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale St-Yorre, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Thonon, embouteillée, non gazeuse, faiblement minéralisée (Thonon, 74)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Ventadour, embouteillée, gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Vernet, embouteillée, gazeuse, faiblement minéralisée (Prades, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Vichy Célestins, embouteillée, gazeuse, fortement minéralisée (Saint-Yorre, 03)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Vittel, embouteillée, non gazeuse, moyennement minéralisée (Vittel, 88)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Volvic, embouteillée, non gazeuse, faiblement minéralisée (Volvic, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Volvic active, embouteillée, gazeuse, faiblement minéralisée (Volvic, 63)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Wattwiller, embouteillée, gazeuse ou non gazeuse, faiblement minéraliséee (Wattwiller, 68)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Perrier, embouteillée, gazeuse, faiblement minéralisée (Vergèse, 30)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Badoit, embouteillée, gazeuse, moyennement minéralisée (St-Galmier, 42)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Avra, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Beckerich, embouteillée, non gazeuse, faiblement minéralisée (Luxembourg)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Chaudfontaine, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Christinen Brunnen, embouteillée, non gazeuse, moyennement minéralisée (Allemagne)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Courmayeur, embouteillée, non gazeuse, fortement minéralisée (Italie)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Levissima, embouteillée, non gazeuse, faiblement minéralisée (Italie)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Luso, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Néro, embouteillée, non gazeuse, faiblement minéralisée (Grèce)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Penacova, embouteillée, non gazeuse, très faiblement minéralisée (Portugal)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale San Pellegrino, embouteillée, gazeuse, moyennement minéralisée (Italie)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Spa-Reine, embouteillée, gazeuse ou non non gazeuse, moyennement minéralisée (Belgique)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Valvert, embouteillée, non gazeuse, faiblement minéralisée (Belgique)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Appollinaris, embouteillée, non gazeuse, fortement minéralisée (Allemagne)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau de source Cristaline, embouteillée, non gazeuse",,,,,,,,,,,,,,
"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)",,,,,,,,,,,,,,
"Eau minérale La Cairolle, embouteillée, non gazeuse, fortement minéralisée (Les Aires, 34)",,,,,,,,,,,,,,
"Eau minérale Cilaos, embouteillée, gazeuse, fortement minéralisée (Cilaos, 974)",,,,,,,,,,,,,,
"Eau minérale La Française, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",,,,,,,,,,,,,,
"Eau minérale Montcalm, embouteillée, non gazeuse, très faiblement minéralisée (Auzat, 09)",,,,,,,,,,,,,,
"Eau minérale Montclar, embouteillée, non gazeuse, faiblement minéralisée (Montclar, 04)",,,,,,,,,,,,,,
"Eau minérale Nessel, embouteillée, gazeuse, moyennement minéralisée (Soultzmatt, 68)",,,,,,,,,,,,,,
"Eau minérale Ogeu, embouteillée, gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)",,,,,,,,,,,,,,
"Eau minérale Ogeu, embouteillée, non gazeuse, faiblement minéralisée (Ogeu-les-Bains, 64)",,,,,,,,,,,,,,
"Eau minérale Prince Noir, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)",,,,,,,,,,,,,,
"Eau minérale St-Alban, embouteillée, gazeuse, moyennement minéralisée (St-Alban, 42)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale St-Géron, embouteillée, gazeuse, moyennement minéralisée (St-Géron, 43)",,,,,,,,,,,,,,
"Eau minérale St-Michel-de-Mourcairol, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",,,,,,,,,,,,,,
"Eau minérale Treignac, embouteillée, non gazeuse, très faiblement minéralisée (Treignac, 19)",,,,,,,,,,,,,,
"Eau minérale Vals, embouteillée, gazeuse, moyennement minéralisée (Vals-les-Bains, 07)",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Eau minérale Vauban, embouteillée, non gazeuse, moyennement minéralisée (St-Amand-les-Eaux, 59)",,,,,,,,,,,,,,
"Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)",,,,,,,,,,,,,,
"Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)",,,,,,,,,,,,,,
"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)",,,,,,,,,,,,,,
"Jus d'ananas, à base de concentré",0.0,3.0,0.0,,,,15.0,,,,,,18.0,0.0
"Jus multifruit, pur jus, multivitaminé",0.0,380.0,,2.0,,,24.0,,,,,,,0.0
Jus de fruits (aliment moyen),0.0,,,,,,,,,,,,,0.0
"Jus de carotte, pur jus",0.0,9300.0,0.0,,,,,,,,,,4.0,0.0
"Jus de citron, maison",0.0,1.0,0.0,,0.0,,,,,,,,,0.0
"Jus multifruit - base orange, multivitaminé",,880.0,,,,,,,,,,,90.0,1.0
"Jus d'orange, à base de concentré",0.0,,0.0,,0.0,,,,,,,,30.0,0.0
"Jus d'orange, maison",0.0,33.0,0.0,,,,50.0,,,,,,30.0,0.0
"Jus de pomme, à base de concentré",0.0,,0.0,,0.0,,,,,,,,,0.0
"Jus de pamplemousse (pomélo), à base de concentré",0.0,3.0,0.0,,0.0,,,,,,,,,0.0
"Jus de raisin, pur jus",0.0,5.0,0.0,,,,,,,,,,,0.0
"Jus de grenade, pur jus",0.0,0.0,0.0,,,,,,,,,,24.0,0.0
Jus de pruneau,0.0,2.0,0.0,,,,,,,,,,,0.0
"Jus de raisin, à base de concentré",,,,,,,9.0,,,,,,43.0,
"Jus de mangue, frais",0.0,375.0,0.0,,,,,,,,,,,0.0
"Jus de fruit de la passion ou maracudja, frais",0.0,525.0,0.0,,,,,0.0,,,,,8.0,0.0
